Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,70,RM,,1193,Pave,Pave,Reg,Lvl,ELO,Corner,Mod,NridgHt,Feedr,RRNn,Duplex,2.5Fin,5,2,1922,1953,Hip,Tar&Grv,AsbShng,AsbShng,None,65.2,Po,Gd,Stone,TA,TA,Mn,LwQ,121.3,,18.1,11.9,151.3,OthW,Po,Y,SBrkr,956.5,402.8,3.0,1440.1,1,1,2,0,3,2,Po,13,Sev,1,,Attchd,1931.0,RFn,0,0.0,Fa,Ex,Y,133.3,75.8,23.9,11.1,39.5,0.0,GdPrv,Shed,239.1,5,2009,WD,Alloca,888433.0
2,45,RL,34.1,5203,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,BrkSide,Norm,RRAn,Twnhs,2.5Unf,3,8,1971,1994,Shed,Roll,Plywood,Plywood,BrkFace,63.5,TA,Ex,Slab,TA,Fa,Av,GLQ,657.3,GLQ,81.2,180.7,919.2,GasA,Po,Y,SBrkr,478.6,0.0,18.4,520.8,1,0,0,1,0,2,Ex,8,Maj1,1,Fa,Attchd,1973.0,Unf,0,0.0,TA,Ex,Y,10.9,21.3,80.2,28.9,2.3,0.0,MnPrv,,0.0,6,2006,WD,Alloca,333037.0
3,160,RM,41.0,5913,Pave,,IR1,HLS,NoSeWa,CulDSac,Mod,NridgHt,RRNe,PosA,Duplex,1.5Fin,5,1,2008,2042,Mansard,Tar&Grv,CmentBd,CmentBd,,0.0,Gd,Gd,PConc,TA,Gd,Gd,,218.5,,291.9,164.6,675.0,GasW,Po,Y,FuseP,1430.8,412.4,39.3,1889.8,1,0,0,0,2,0,Gd,10,Min2,1,,Attchd,2017.0,RFn,1,196.0,TA,TA,Y,81.8,46.5,17.9,5.4,26.1,0.0,,,0.0,12,2006,Con,Abnorml,1114585.0
4,190,RM,63.7,7542,Pave,Pave,Reg,Lvl,NoSeWa,Inside,Sev,Veenker,PosA,Artery,1Fam,SLvl,4,7,1870,1887,Mansard,WdShake,MetalSd,MetalSd,None,9.3,Fa,Gd,Slab,Ex,TA,No,GLQ,263.5,Unf,106.5,53.1,423.1,GasW,Fa,Y,SBrkr,244.5,550.9,21.7,843.5,2,1,2,0,2,2,Po,4,Maj1,2,,Attchd,1883.0,RFn,1,148.8,Gd,Gd,Y,66.2,47.5,59.6,22.5,14.6,0.0,MnPrv,,0.0,1,2009,WD,Abnorml,499805.0
5,90,RL,59.8,9128,Pave,,IR3,HLS,AllPub,FR2,Gtl,Blmngtn,Artery,RRNe,Duplex,2Story,1,3,1883,1885,Gambrel,Roll,Stucco,Stucco,BrkFace,93.4,TA,TA,Slab,Fa,,No,Unf,176.2,,65.2,86.3,327.7,GasA,Ex,Y,SBrkr,1335.2,0.0,19.0,1368.4,2,0,1,1,3,2,Gd,8,Maj2,1,,Detchd,1887.0,Unf,1,149.6,Gd,Gd,Y,60.9,6.2,80.7,13.6,17.1,0.0,,,0.0,2,2010,WD,Normal,550419.0
6,75,RL,67.7,3734,Pave,,Reg,Low,NoSeWa,Inside,Sev,BrDale,Feedr,Artery,Duplex,1.5Fin,1,4,1991,2029,Gambrel,Tar&Grv,Stucco,Stucco,BrkFace,38.9,Po,TA,BrkTil,TA,TA,Mn,Rec,85.2,,87.1,196.0,368.3,GasW,Fa,Y,SBrkr,960.3,201.8,18.1,1231.4,2,1,2,0,2,0,Po,14,Sev,0,,Attchd,1995.0,RFn,3,388.5,,Ex,Y,84.8,105.8,26.8,9.7,16.4,0.0,,,0.0,9,2006,WD,Abnorml,458834.0
7,160,RL,86.6,8165,Pave,,Reg,Lvl,AllPub,Corner,Sev,OldTown,Artery,PosN,1Fam,SFoyer,7,8,1890,1915,Mansard,Membran,BrkFace,BrkFace,,0.0,TA,Fa,Wood,Ex,,,GLQ,507.2,GLQ,122.4,390.0,1019.6,Wall,TA,Y,SBrkr,742.8,471.3,1.3,1253.7,1,1,3,1,4,0,Gd,10,Typ,3,Gd,Attchd,1902.0,Unf,0,0.0,,Ex,Y,44.1,22.7,22.4,1.9,8.2,370.4,,,0.0,3,2011,WD,Alloca,884029.0
8,50,RL,58.4,16677,Pave,,Reg,HLS,ELO,FR3,Sev,SawyerW,PosA,Artery,Twnhs,2Story,4,3,1903,1926,Gambrel,Metal,Stucco,Stucco,,,Po,Gd,Slab,TA,TA,Av,Rec,784.3,Unf,137.2,171.7,1093.2,GasW,Ex,Y,SBrkr,458.5,0.0,13.9,480.7,2,1,3,1,3,0,Fa,6,Maj1,2,,Attchd,1931.0,Unf,0,0.0,Gd,TA,Y,140.1,41.6,20.5,3.8,6.1,0.0,,,0.0,2,2006,ConLI,Alloca,356885.0
9,70,C (all),87.0,6823,Pave,,IR1,Lvl,AllPub,CulDSac,Sev,SawyerW,RRAn,Norm,2fmCon,2.5Unf,1,7,1974,1974,Gambrel,ClyTile,Wd Sdng,Wd Sdng,,0.0,Ex,Ex,BrkTil,Po,Fa,Av,Rec,211.3,,81.3,183.0,475.6,Grav,Ex,Y,SBrkr,720.2,0.0,29.1,769.6,2,1,1,0,1,1,Ex,9,Mod,3,,Attchd,2001.0,RFn,2,450.4,TA,TA,Y,5.6,104.1,15.4,23.0,28.9,0.0,,,0.0,5,2006,Con,AdjLand,347441.0
10,85,FV,58.5,2241,Pave,,IR1,HLS,AllPub,FR3,Mod,OldTown,Artery,Norm,TwnhsE,1.5Fin,6,1,1883,1916,Gambrel,Metal,Wd Sdng,Wd Sdng,BrkFace,41.3,Ex,Gd,Wood,TA,TA,Mn,Unf,136.6,,61.4,77.7,275.7,Wall,TA,Y,SBrkr,850.9,1008.0,10.7,1920.5,0,0,0,0,5,0,Gd,9,Min2,2,,CarPort,1899.0,RFn,1,233.8,Po,TA,Y,121.0,46.3,15.0,51.0,40.7,0.0,,,0.0,10,2011,WD,Normal,1205614.0
